data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;lej rumuñski;lew (Bu³garia);lira turecka;nowy izraelski szekel;peso chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rupia indonezyjska;rupia indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);
20230102;0,1267;4,3811;2,9767;0,5615;3,2306;2,7713;3,2665;4,6784;1,1676;4,7379;5,2768;0,1258;3,3469;0,1936;0,6290;3,0881;0,4448;0,4187;0,9463;2,3920;0,2340;1,2441;0,5165;0,0785;0,2246;0,2578;0,8287;0,9946;2,8134;5,2945;0,3447;0,6355;5,8589;1;001/A/NBP/2023;
20230103;0,1290;4,4373;2,9825;0,5679;3,2593;2,7722;3,3018;4,6800;1,1619;4,7342;5,2911;0,1258;3,4020;0,1939;0,6293;3,0850;0,4467;0,4208;0,9489;2,3928;0,2369;1,2555;0,5231;0,0795;0,2280;0,2601;0,8273;1,0071;2,8449;5,3534;0,3475;0,6428;5,8609;2;002/A/NBP/2023;
20230104;0,1292;4,3998;3,0231;0,5628;3,2457;2,7841;3,2856;4,6688;1,1752;4,7454;5,3064;0,1258;3,3735;0,1941;0,6277;3,0777;0,4367;0,4175;0,9471;2,3871;0,2348;1,2495;0,5099;0,0788;0,2276;0,2618;0,8029;0,9998;2,8226;5,3141;0,3460;0,6396;5,8875;3;003/A/NBP/2023;
20230105;0,1295;4,3970;3,0008;0,5629;3,2555;2,7613;3,2831;4,6709;1,1809;4,7437;5,2892;0,1258;3,3172;0,1946;0,6280;3,0790;0,4370;0,4182;0,9480;2,3882;0,2344;1,2476;0,5140;0,0788;0,2273;0,2590;0,8095;1,0020;2,8172;5,3266;0,3463;0,6397;5,8821;4;004/A/NBP/2023;
20230109;0,1314;4,4010;3,0479;0,5638;3,2863;2,8127;3,3019;4,6970;1,1816;4,7606;5,3515;0,1258;3,3230;0,1957;0,6315;3,0719;0,4429;0,4200;0,9538;2,4015;0,2344;1,2539;0,5231;0,0799;0,2300;0,2581;0,8422;1,0059;2,8272;5,3441;0,3534;0,6490;5,9329;5;005/A/NBP/2023;
20230110;0,1304;4,3720;3,0165;0,5600;3,2668;2,7901;3,2860;4,6981;1,1795;4,7525;5,3266;0,1258;3,3165;0,1958;0,6317;3,0369;0,4401;0,4203;0,9539;2,4021;0,2328;1,2603;0,5232;0,0798;0,2289;0,2568;0,8319;0,9998;2,8075;5,3471;0,3513;0,6453;5,8816;6;006/A/NBP/2023;
20230111;0,1308;4,3639;3,0161;0,5585;3,2510;2,7794;3,2772;4,6871;1,1715;4,7266;5,2938;0,1258;3,2935;0,1951;0,6302;3,0298;0,4371;0,4174;0,9502;2,3965;0,2324;1,2617;0,5277;0,0795;0,2289;0,2567;0,8392;0,9984;2,8186;5,3471;0,3501;0,6445;5,8634;7;007/A/NBP/2023;
20230112;0,1306;4,3556;3,0108;0,5578;3,2445;2,7707;3,2760;4,6888;1,1744;4,6773;5,3035;0,1258;3,3257;0,1951;0,6304;3,0388;0,4355;0,4151;0,9498;2,3973;0,2319;1,2644;0,5288;0,0788;0,2305;0,2584;0,8441;0,9992;2,8398;5,3400;0,3497;0,6460;5,8526;8;008/A/NBP/2023;
20230113;0,1312;4,3272;3,0183;0,5540;3,2417;2,7666;3,2741;4,6915;1,1842;4,6600;5,2910;0,1258;3,3661;0,1953;0,6306;3,0405;0,4385;0,4161;0,9496;2,3987;0,2303;1,2685;0,5286;0,0789;0,2298;0,2576;0,8470;0,9979;2,8570;5,3200;0,3497;0,6443;5,8544;9;009/A/NBP/2023;
20230116;0,1317;4,3436;3,0250;0,5561;3,2429;2,7772;3,2900;4,7004;1,1779;4,6959;5,2998;0,1258;3,3837;0,1958;0,6318;3,0463;0,4388;0,4171;0,9505;2,4033;0,2313;1,2699;0,5313;0,0797;0,2305;0,2544;0,8524;1,0064;2,8871;5,3218;0,3512;0,6456;5,8610;10;010/A/NBP/2023;
20230117;0,1311;4,3398;3,0164;0,5551;3,2321;2,7753;3,2795;4,6946;1,1763;4,7005;5,2992;0,1258;3,3697;0,1956;0,6311;3,0386;0,4373;0,4161;0,9521;2,4003;0,2310;1,2682;0,5275;0,0792;0,2311;0,2535;0,8430;1,0031;2,8617;5,3076;0,3504;0,6406;5,8537;11;011/A/NBP/2023;
20230118;0,1319;4,3322;3,0435;0,5536;3,2428;2,8103;3,2942;4,7091;1,1927;4,7449;5,3543;0,1258;3,3479;0,1964;0,6331;3,0480;0,4414;0,4210;0,9545;2,4077;0,2305;1,2825;0,5315;0,0794;0,2332;0,2560;0,8493;1,0043;2,8714;5,3314;0,3515;0,6415;5,8575;12;012/A/NBP/2023;
20230119;0,1316;4,3469;2,9922;0,5550;3,2165;2,7762;3,2798;4,7053;1,1902;4,7437;5,3625;0,1258;3,3873;0,1965;0,6324;3,0455;0,4385;0,4238;0,9544;2,4058;0,2312;1,2810;0,5275;0,0795;0,2291;0,2520;0,8380;1,0090;2,8778;5,3425;0,3513;0,6407;5,8595;13;013/A/NBP/2023;
20230120;0,1326;4,3520;3,0169;0,5556;3,2311;2,7919;3,2908;4,7137;1,1907;4,7281;5,3711;0,1258;3,3614;0,1969;0,6336;3,0509;0,4401;0,4221;0,9569;2,4101;0,2315;1,2764;0,5283;0,0799;0,2293;0,2514;0,8410;1,0155;2,8869;5,3646;0,3524;0,6416;5,8803;14;014/A/NBP/2023;
20230123;0,1321;4,3242;3,0305;0,5523;3,2389;2,8081;3,2849;4,7186;1,1958;4,7118;5,3648;0,1258;3,3307;0,1974;0,6342;3,0541;0,4417;0,4235;0,9590;2,4126;0,2299;1,2804;0,5304;0,0792;0,2297;0,2520;0,8303;1,0090;2,8685;5,3138;0,3523;0,6419;5,8763;15;015/A/NBP/2023;
20230124;0,1320;4,3341;3,0422;0,5534;3,2421;2,8107;3,2832;4,7073;1,1863;4,7014;5,3443;0,1258;3,3311;0,1972;0,6328;3,0389;0,4405;0,4244;0,9567;2,4068;0,2305;1,2862;0,5329;0,0796;0,2300;0,2509;0,8322;1,0113;2,9113;5,3050;0,3509;0,6404;5,8464;16;016/A/NBP/2023;
20230125;0,1319;4,3265;3,0680;0,5523;3,2344;2,8033;3,2880;4,7079;1,2091;4,6870;5,3263;0,1258;3,3320;0,1975;0,6329;2,9968;0,4379;0,4228;0,9608;2,4071;0,2301;1,2898;0,5398;0,0793;0,2305;0,2515;0,8418;1,0153;2,8911;5,3032;0,3508;0,6405;5,8503;17;017/A/NBP/2023;
20230126;0,1323;4,3354;3,0799;0,5537;3,2351;2,8079;3,3034;4,7239;1,2160;4,7142;5,3690;0,1258;3,3362;0,1987;0,6351;3,0069;0,4389;0,4233;0,9671;2,4153;0,2305;1,2791;0,5396;0,0797;0,2305;0,2537;0,8545;1,0212;2,9004;5,3164;0,3514;0,6426;5,8612;18;018/A/NBP/2023;
20230127;0,1316;4,3252;3,0729;0,5525;3,2479;2,8053;3,2924;4,7076;1,2125;4,6961;5,3505;0,1258;3,3309;0,1977;0,6329;3,0391;0,4387;0,4203;0,9622;2,4069;0,2301;1,2581;0,5391;0,0794;0,2304;0,2507;0,8537;1,0190;2,8864;5,3054;0,3504;0,6404;5,8442;19;019/A/NBP/2023;
20230130;0,1322;4,3258;3,0616;0,5520;3,2451;2,8076;3,2961;4,7160;1,2031;4,7054;5,3609;0,1258;3,3284;0,1980;0,6341;3,0723;0,4381;0,4196;0,9617;2,4112;0,2300;1,2465;0,5364;0,0793;0,2304;0,2500;0,8466;1,0193;2,8897;5,3081;0,3522;0,6404;5,8646;20;020/A/NBP/2023;
20230131;0,1317;4,3480;3,0485;0,5547;3,2334;2,7950;3,3021;4,7089;1,2106;4,6918;5,3595;0,1258;3,3344;0,1975;0,6331;3,0757;0,4327;0,4154;0,9564;2,4076;0,2312;1,2515;0,5385;0,0796;0,2311;0,2489;0,8498;1,0193;2,9006;5,3076;0,3517;0,6437;5,8379;21;021/A/NBP/2023;
20230201;0,1317;4,3254;3,0579;0,5515;3,2505;2,7851;3,2952;4,7080;1,2068;4,7222;5,3279;0,1258;3,3307;0,1979;0,6329;3,0711;0,4343;0,4150;0,9577;2,4071;0,2299;1,2553;0,5433;0,0794;0,2303;0,2490;0,8525;1,0140;2,8884;5,2784;0,3515;0,6416;5,8604;22;022/A/NBP/2023;
20230202;0,1305;4,2803;3,0524;0,5456;3,2232;2,7908;3,2772;4,7079;1,2143;4,7147;5,2838;0,1258;3,3201;0,1980;0,6329;3,0670;0,4312;0,4149;0,9606;2,4071;0,2276;1,2522;0,5442;0,0795;0,2310;0,2507;0,8467;1,0081;2,8765;5,2086;0,3500;0,6366;5,8407;23;023/A/NBP/2023;
20230203;0,1303;4,2928;3,0303;0,5471;3,2162;2,7779;3,2749;4,6920;1,2181;4,7023;5,2571;0,1258;3,3391;0,1976;0,6303;3,0527;0,4280;0,4141;0,9576;2,3990;0,2280;1,2634;0,5504;0,0800;0,2299;0,2507;0,8499;1,0082;2,8825;5,2444;0,3487;0,6368;5,7961;24;024/A/NBP/2023;
20230206;0,1302;4,3833;3,0225;0,5586;3,2624;2,7654;3,3083;4,7195;1,2118;4,7458;5,2764;0,1258;3,3222;0,1980;0,6340;3,0746;0,4265;0,4137;0,9628;2,4130;0,2328;1,2681;0,5501;0,0805;0,2300;0,2492;0,8507;1,0294;2,9115;5,2973;0,3491;0,6466;5,8408;25;025/A/NBP/2023;
20230207;0,1319;4,4325;3,0754;0,5647;3,3049;2,8048;3,3419;4,7476;1,2088;4,7856;5,3212;0,1258;3,3628;0,1992;0,6380;3,1050;0,4284;0,4170;0,9683;2,4274;0,2355;1,2777;0,5516;0,0803;0,2320;0,2516;0,8612;1,0301;2,9267;5,3596;0,3518;0,6532;5,9111;26;026/A/NBP/2023;
20230208;0,1317;4,4074;3,0790;0,5615;3,2967;2,7958;3,3318;4,7402;1,2166;4,8004;5,3351;0,1258;3,3728;0,1993;0,6368;3,1371;0,4308;0,4184;0,9682;2,4236;0,2341;1,2705;0,5557;0,0804;0,2337;0,2517;0,8459;1,0253;2,9188;5,3423;0,3503;0,6498;5,9308;27;027/A/NBP/2023;
20230209;0,1315;4,4003;3,0700;0,5606;3,2826;2,8008;3,3285;4,7363;1,2299;4,7912;5,3427;0,1258;3,3630;0,1996;0,6364;3,1304;0,4330;0,4232;0,9691;2,4216;0,2336;1,2604;0,5490;0,0808;0,2331;0,2487;0,8460;1,0195;2,9152;5,3321;0,3496;0,6492;5,9205;28;028/A/NBP/2023;
20230210;0,1319;4,4565;3,0897;0,5676;3,3167;2,8198;3,3580;4,7716;1,2262;4,8283;5,3922;0,1258;3,4035;0,2008;0,6409;3,1579;0,4386;0,4285;0,9735;2,4397;0,2368;1,2688;0,5561;0,0818;0,2374;0,2503;0,8422;1,0286;2,9448;5,4018;0,3524;0,6550;5,9516;29;029/A/NBP/2023;
20230213;0,1323;4,4856;3,1041;0,5714;3,3562;2,8390;3,3664;4,7895;1,2339;4,8582;5,4003;0,1258;3,3807;0,2017;0,6429;3,1407;0,4412;0,4292;0,9771;2,4488;0,2382;1,2679;0,5619;0,0818;0,2400;0,2490;0,8600;1,0282;2,9520;5,4220;0,3514;0,6569;6,0033;30;030/A/NBP/2023;
20230214;0,1315;4,4463;3,0992;0,5664;3,3339;2,8186;3,3531;4,7847;1,2510;4,8519;5,4193;0,1258;3,3677;0,2013;0,6421;3,1130;0,4412;0,4313;0,9761;2,4464;0,2359;1,2688;0,5586;0,0811;0,2396;0,2493;0,8617;1,0225;2,9330;5,3724;0,3509;0,6526;5,9865;31;031/A/NBP/2023;
20230215;0,1293;4,4372;3,0671;0,5654;3,3123;2,7902;3,3282;4,7593;1,2551;4,8105;5,3674;0,1258;3,3270;0,2007;0,6386;3,1046;0,4362;0,4276;0,9714;2,4334;0,2354;1,2564;0,5652;0,0804;0,2382;0,2465;0,8545;1,0102;2,9186;5,3586;0,3456;0,6485;5,9349;32;032/A/NBP/2023;
20230216;0,1300;4,4601;3,0859;0,5683;3,3335;2,8074;3,3437;4,7728;1,2482;4,8349;5,3772;0,1258;3,3317;0,2017;0,6405;3,0972;0,4373;0,4280;0,9739;2,4403;0,2366;1,2625;0,5632;0,0809;0,2403;0,2472;0,8546;1,0128;2,9430;5,3917;0,3467;0,6506;5,9655;33;033/A/NBP/2023;
20230217;0,1297;4,4888;3,0632;0,5724;3,3240;2,7829;3,3495;4,7747;1,2382;4,8144;5,3606;0,1258;3,3288;0,2014;0,6412;3,0904;0,4344;0,4262;0,9736;2,4412;0,2379;1,2587;0,5668;0,0811;0,2412;0,2458;0,8602;1,0128;2,9527;5,4186;0,3448;0,6521;5,9641;34;034/A/NBP/2023;
20230220;0,1293;4,4515;3,0701;0,5682;3,3062;2,7722;3,3314;4,7542;1,2393;4,8185;5,3520;0,1258;3,3174;0,2005;0,6385;3,0772;0,4330;0,4277;0,9666;2,4308;0,2361;1,2508;0,5644;0,0810;0,2416;0,2455;0,8614;1,0047;2,9368;5,3799;0,3431;0,6490;5,9555;35;035/A/NBP/2023;
20230221;0,1288;4,4524;3,0671;0,5676;3,3088;2,7784;3,3279;4,7469;1,2351;4,8160;5,3832;0,1258;3,3075;0,2000;0,6374;3,0844;0,4336;0,4315;0,9653;2,4270;0,2361;1,2328;0,5572;0,0809;0,2417;0,2447;0,8615;1,0045;2,9311;5,3773;0,3429;0,6476;5,9463;36;036/A/NBP/2023;
20230222;0,1292;4,4687;3,0482;0,5696;3,2975;2,7790;3,3356;4,7538;1,2381;4,8176;5,3971;0,1258;3,3123;0,2005;0,6385;3,0889;0,4327;0,4308;0,9650;2,4306;0,2368;1,2125;0,5561;0,0810;0,2420;0,2441;0,8647;1,0061;2,9396;5,3941;0,3423;0,6482;5,9465;37;037/A/NBP/2023;
20230223;0,1295;4,4873;3,0589;0,5719;3,3140;2,7962;3,3407;4,7525;1,2472;4,8085;5,3984;0,1258;3,3271;0,2005;0,6384;3,1123;0,4333;0,4303;0,9665;2,4299;0,2378;1,2392;0,5602;0,0815;0,2453;0,2449;0,8709;1,0120;2,9541;5,4229;0,3455;0,6504;5,9485;38;038/A/NBP/2023;
20230224;0,1281;4,4630;3,0275;0,5687;3,2892;2,7738;3,3192;4,7245;1,2438;4,7749;5,3663;0,1258;3,3023;0,1997;0,6347;3,0940;0,4327;0,4288;0,9606;2,4156;0,2364;1,2197;0,5526;0,0813;0,2426;0,2434;0,8687;1,0062;2,9313;5,3942;0,3413;0,6433;5,9219;39;039/A/NBP/2023;
20230227;0,1273;4,4697;3,0026;0,5697;3,2874;2,7497;3,3124;4,7162;1,2430;4,7487;5,3523;0,1258;3,2771;0,1996;0,6336;3,0967;0,4310;0,4264;0,9583;2,4113;0,2367;1,2190;0,5410;0,0805;0,2431;0,2425;0,8578;0,9980;2,9271;5,3952;0,3383;0,6421;5,9245;40;040/A/NBP/2023;
20230228;0,1258;4,4475;2,9888;0,5666;3,2726;2,7327;3,2970;4,7170;1,2418;4,7424;5,3700;0,1258;3,2525;0,1999;0,6338;3,0972;0,4295;0,4266;0,9586;2,4117;0,2355;1,2116;0,5340;0,0804;0,2424;0,2412;0,8551;0,9911;2,9164;5,3801;0,3363;0,6412;5,9277;41;041/A/NBP/2023;
20230301;0,1267;4,4094;2,9819;0,5617;3,2415;2,7582;3,2872;4,6925;1,2473;4,7031;5,3218;0,1258;3,2458;0,2002;0,6303;3,0690;0,4271;0,4234;0,9529;2,3992;0,2335;1,2158;0,5327;0,0802;0,2413;0,2425;0,8420;0,9859;2,8943;5,3443;0,3376;0,6410;5,8719;42;042/A/NBP/2023;
20230302;0,1266;4,4002;2,9638;0,5606;3,2329;2,7380;3,2671;4,6750;1,2503;4,6743;5,2676;0,1258;3,2239;0,1993;0,6282;3,0858;0,4221;0,4197;0,9499;2,3903;0,2330;1,2076;0,5428;0,0800;0,2430;0,2427;0,8495;0,9832;2,8797;5,3274;0,3357;0,6379;5,8366;43;043/A/NBP/2023;
20230303;0,1278;4,4341;2,9967;0,5649;3,2695;2,7642;3,2941;4,7046;1,2426;4,7280;5,3147;0,1258;3,2566;0,2003;0,6322;3,1260;0,4253;0,4222;0,9558;2,4054;0,2348;1,2100;0,5459;0,0809;0,2454;0,2438;0,8525;0,9906;2,8981;5,4108;0,3410;0,6424;5,8989;44;044/A/NBP/2023;
20230306;0,1283;4,4289;2,9820;0,5642;3,2564;2,7407;3,2907;4,7073;1,2441;4,7402;5,3268;0,1258;3,2540;0,1999;0,6325;3,1403;0,4242;0,4219;0,9570;2,4068;0,2344;1,2100;0,5518;0,0806;0,2466;0,2429;0,8524;0,9890;2,8957;5,4061;0,3404;0,6390;5,8977;45;045/A/NBP/2023;
20230307;0,1273;4,3981;2,9360;0,5603;3,2266;2,7250;3,2673;4,6871;1,2419;4,7156;5,2836;0,1258;3,2372;0,1992;0,6298;3,1310;0,4201;0,4189;0,9526;2,3965;0,2326;1,2220;0,5520;0,0799;0,2446;0,2398;0,8534;0,9834;2,8652;5,3750;0,3375;0,6343;5,8558;46;046/A/NBP/2023;
20230308;0,1271;4,4626;2,9463;0,5685;3,2434;2,7307;3,2955;4,7018;1,2335;4,7342;5,2811;0,1258;3,2442;0,1988;0,6318;3,1366;0,4172;0,4156;0,9558;2,4040;0,2356;1,2375;0,5540;0,0806;0,2471;0,2397;0,8596;0,9861;2,8912;5,4384;0,3385;0,6405;5,8660;47;047/A/NBP/2023;
20230309;0,1265;4,4356;2,9320;0,5650;3,2131;2,7169;3,2805;4,6836;1,2348;4,7319;5,2648;0,1258;3,2570;0,1983;0,6294;3,1245;0,4155;0,4145;0,9529;2,3947;0,2341;1,2314;0,5512;0,0804;0,2477;0,2390;0,8620;0,9811;2,8756;5,4110;0,3357;0,6374;5,8778;48;048/A/NBP/2023;
20230310;0,1262;4,4266;2,9154;0,5639;3,1992;2,7044;3,2640;4,6838;1,2235;4,7578;5,3068;0,1258;3,2360;0,1981;0,6294;3,1246;0,4138;0,4115;0,9530;2,3948;0,2334;1,2318;0,5557;0,0802;0,2413;0,2401;0,8570;0,9792;2,8649;5,3954;0,3353;0,6361;5,8840;49;049/A/NBP/2023;
20230313;0,1267;4,3906;2,9081;0,5596;3,1879;2,7092;3,2585;4,6848;1,2178;4,8054;5,3013;0,1258;3,2952;0,1978;0,6293;3,1087;0,4130;0,4088;0,9530;2,3953;0,2314;1,2093;0,5483;0,0798;0,2381;0,2411;0,8415;0,9763;2,8573;5,3445;0,3363;0,6370;5,8733;50;050/A/NBP/2023;
20230314;0,1269;4,3793;2,9110;0,5582;3,1882;2,7196;3,2494;4,6909;1,1886;4,8035;5,3227;0,1258;3,2627;0,1970;0,6300;3,1045;0,4124;0,4133;0,9524;2,3984;0,2308;1,2001;0,5436;0,0795;0,2304;0,2392;0,8346;0,9760;2,8465;5,3080;0,3344;0,6363;5,8527;51;051/A/NBP/2023;
20230315;0,1272;4,4030;2,9292;0,5609;3,2103;2,7328;3,2713;4,7015;1,1981;4,7938;5,3341;0,1258;3,2808;0,1972;0,6314;3,1281;0,4148;0,4188;0,9556;2,4039;0,2319;1,2172;0,5487;0,0800;0,2347;0,2408;0,8380;0,9820;2,8656;5,3300;0,3356;0,6378;5,8558;52;052/A/NBP/2023;
20230316;0,1286;4,4248;2,9401;0,5636;3,2180;2,7306;3,2841;4,6978;1,1874;4,7718;5,3427;0,1258;3,3301;0,1959;0,6309;3,1298;0,4117;0,4191;0,9549;2,4019;0,2329;1,2142;0,5388;0,0806;0,2327;0,2406;0,8367;0,9824;2,8770;5,3477;0,3375;0,6413;5,9284;53;053/A/NBP/2023;
20230317;0,1291;4,4202;2,9637;0,5631;3,2269;2,7610;3,2915;4,7062;1,1934;4,7728;5,3620;0,1258;3,3203;0,1965;0,6320;3,1480;0,4143;0,4219;0,9567;2,4062;0,2325;1,2057;0,5366;0,0808;0,2370;0,2411;0,8450;0,9854;2,8806;5,3552;0,3382;0,6417;5,9211;54;054/A/NBP/2023;
20230320;0,1294;4,4130;2,9466;0,5626;3,2168;2,7521;3,2890;4,7109;1,1809;4,7477;5,3808;0,1258;3,3634;0,1963;0,6328;3,1469;0,4119;0,4205;0,9572;2,4086;0,2322;1,2003;0,5336;0,0809;0,2321;0,2384;0,8365;0,9837;2,8731;5,3404;0,3367;0,6408;5,9184;55;055/A/NBP/2023;
20230321;0,1274;4,3715;2,9217;0,5573;3,1978;2,7067;3,2695;4,6981;1,1993;4,7167;5,3561;0,1258;3,3069;0,1963;0,6309;3,1300;0,4130;0,4231;0,9543;2,4021;0,2298;1,1958;0,5292;0,0805;0,2336;0,2354;0,8347;0,9774;2,8488;5,2882;0,3347;0,6364;5,8733;56;056/A/NBP/2023;
20230322;0,1262;4,3467;2,9108;0,5539;3,1725;2,7033;3,2570;4,6888;1,2013;4,7154;5,3385;0,1258;3,2793;0,1970;0,6296;3,1363;0,4130;0,4214;0,9523;2,3973;0,2284;1,1886;0,5283;0,0798;0,2339;0,2348;0,8291;0,9761;2,8327;5,2573;0,3325;0,6313;5,8382;57;057/A/NBP/2023;
20230323;0,1262;4,3011;2,8930;0,5479;3,1449;2,7020;3,2417;4,6817;1,2132;4,6970;5,2966;0,1258;3,2799;0,1977;0,6286;3,1232;0,4156;0,4188;0,9512;2,3937;0,2258;1,1836;0,5305;0,0792;0,2320;0,2375;0,8213;0,9735;2,8029;5,2279;0,3347;0,6299;5,8249;58;058/A/NBP/2023;
20230324;0,1281;4,3742;2,9057;0,5571;3,1753;2,7155;3,2791;4,6911;1,2083;4,7623;5,3417;0,1258;3,3703;0,1977;0,6296;3,1295;0,4149;0,4192;0,9524;2,3985;0,2294;1,2052;0,5418;0,0803;0,2335;0,2395;0,8256;0,9878;2,8863;5,3029;0,3355;0,6360;5,8113;59;059/A/NBP/2023;
20230327;0,1266;4,3518;2,8933;0,5544;3,1710;2,6997;3,2668;4,6856;1,2145;4,7500;5,3364;0,1258;3,3204;0,1970;0,6288;3,1217;0,4133;0,4185;0,9485;2,3957;0,2279;1,2271;0,5369;0,0802;0,2363;0,2379;0,8295;0,9832;2,8706;5,2859;0,3345;0,6325;5,8503;60;060/A/NBP/2023;
20230328;0,1262;4,3300;2,8887;0,5516;3,1648;2,6927;3,2579;4,6816;1,2152;4,7205;5,3242;0,1258;3,3039;0,1971;0,6283;3,1441;0,4141;0,4177;0,9462;2,3936;0,2266;1,2213;0,5375;0,0795;0,2361;0,2368;0,8334;0,9832;2,8701;5,2670;0,3331;0,6288;5,8308;61;061/A/NBP/2023;
20230329;0,1265;4,3247;2,8833;0,5509;3,1785;2,6954;3,2526;4,6850;1,2308;4,7012;5,3302;0,1258;3,2767;0,1978;0,6288;3,1591;0,4159;0,4153;0,9468;2,3954;0,2260;1,2125;0,5425;0,0794;0,2386;0,2382;0,8372;0,9782;2,8707;5,2526;0,3318;0,6278;5,8110;62;062/A/NBP/2023;
20230330;0,1258;4,3043;2,8881;0,5483;3,1797;2,6876;3,2421;4,6801;1,2284;4,6980;5,3177;0,1258;3,2475;0,1990;0,6282;3,1601;0,4131;0,4139;0,9457;2,3929;0,2247;1,2035;0,5425;0,0791;0,2386;0,2387;0,8381;0,9740;2,8606;5,2388;0,3317;0,6260;5,8049;63;063/A/NBP/2023;
20230331;0,1256;4,2934;2,8715;0,5469;3,1676;2,6881;3,2296;4,6755;1,2278;4,6856;5,3107;0,1258;3,2163;0,1987;0,6277;3,1570;0,4117;0,4152;0,9445;2,3905;0,2239;1,1880;0,5437;0,0790;0,2375;0,2410;0,8428;0,9720;2,8633;5,2218;0,3290;0,6248;5,7797;64;064/A/NBP/2023;
20230403;0,1255;4,3168;2,8918;0,5499;3,1998;2,6917;3,2407;4,6805;1,2308;4,7033;5,3236;0,1258;3,2345;0,1994;0,6283;3,1434;0,4142;0,4156;0,9472;2,3931;0,2248;1,1997;0,5430;0,0789;0,2400;0,2410;0,8525;0,9763;2,8835;5,2416;0,3280;0,6266;5,7897;65;065/A/NBP/2023;
20230404;0,1252;4,2855;2,8904;0,5458;3,1923;2,6959;3,2305;4,6785;1,2425;4,6989;5,3462;0,1160;3,2244;0,1996;0,6279;3,1336;0,4160;0,4138;0,9481;2,3921;0,2229;1,1944;0,5286;0,0785;0,2375;0,2404;0,8462;0,9725;2,8765;5,2127;0,3257;0,6228;5,7885;66;066/A/NBP/2023;
20230405;0,1261;4,2739;2,8628;0,5444;3,1727;2,6991;3,2248;4,6803;1,2411;4,7240;5,3379;0,1158;3,2522;0,1997;0,6282;3,1348;0,4112;0,4140;0,9489;2,3930;0,2220;1,1911;0,5288;0,0785;0,2357;0,2393;0,8426;0,9717;2,8636;5,2133;0,3256;0,6212;5,7886;67;067/A/NBP/2023;
20230406;0,1263;4,3033;2,8828;0,5480;3,1922;2,7041;3,2376;4,6902;1,2427;4,7570;5,3648;0,1165;3,2749;0,2002;0,6295;3,1331;0,4120;0,4128;0,9500;2,3981;0,2234;1,1976;0,5312;0,0789;0,2349;0,2366;0,8548;0,9775;2,8856;5,2504;0,3258;0,6255;5,7874;68;068/A/NBP/2023;
20230407;0,1259;4,2932;2,8671;0,5469;3,1779;2,6888;3,2274;4,6862;1,2461;4,7486;5,3404;0,1167;3,2574;0,2001;0,6289;3,1304;0,4102;0,4115;0,9490;2,3961;0,2229;1,1904;0,5244;0,0788;0,2357;0,2353;0,8485;0,9752;2,8788;5,2427;0,3260;0,6245;5,7895;69;069/A/NBP/2023;
20230411;0,1254;4,2917;2,8621;0,5467;3,1791;2,6701;3,2225;4,6810;1,2439;4,7467;5,3369;0,1163;3,2244;0,1997;0,6283;3,1269;0,4085;0,4107;0,9490;2,3933;0,2225;1,1830;0,5240;0,0782;0,2368;0,2339;0,8470;0,9717;2,8837;5,2256;0,3245;0,6234;5,7816;70;070/A/NBP/2023;
